rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"4-комн. кв., 84 м2",от собственника,47 720 сом/мес.,947,8,"Бишкек, Восток-5 м-н, Мамбетова 10/Алматинка",,2 этаж из 5,частично меблирована,105 серия,панельный,Добавлено 28 дней назад,хорошее,https://www.house.kg/details/885096865a3e4a7157cc3-03300933
"3-комн. кв., 210 м2",от собственника,216 909 сом/мес.,1175,5,"Бишкек, Бишкек-Парк, Токтогула 163-165/Исанова",Elite Residence,17 этаж из 17,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/361640465a8f7957403d4-72594610
"3-комн. кв., 70 м2",от собственника,55 000 сом/мес.,561,1,"Бишкек, Сквер Тоголок Молдо",,1 этаж из 5,полностью меблирована,индивид. планировка,кирпичный,Добавлено 5 дней назад,хорошее,https://www.house.kg/details/624118565c1da72354084-86405374
"1-комн. кв., 45 м2",от агента,3 500 сом/сутки,3172,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Итальянский квартал,5 этаж из 8,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/707362065c2449528bd38-23203571
"1-комн. кв., 49 м2",от агента,3 500 сом/сутки,1237,,"Бишкек, 5 м-н, Каралаева 38/1/Суеркулова",,5 этаж из 13,полностью меблирована,элитка,"кирпичный, 2021 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/7792645647422c7df06d1-67930277
"2-комн. кв., 97 м2",от собственника,52 058 сом/мес.,3430,6,"Бишкек, Старый аэропорт, Грибоедова/Джунусалиева",,4 этаж из 6,полностью меблирована,элитка,"кирпичный, 2016 г.",Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/266033465b3bfab0edc52-41276372
"2-комн. кв., 70 м2",от собственника,4 500 сом/сутки,434,2,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Жилой комплекс «Ботанический сад»,5 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/296938465a114ebac0c86-19135599
"2-комн. кв., 54 м2",от собственника,45 000 сом/мес.,343,1,"Бишкек, Ак Эмир рынок, Ибраимова / Московская/Правда / московская",,9 этаж из 9,полностью меблирована,106 серия,панельный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/4814094659a94d2435da9-14219885
"2-комн. кв., 65 м2",от собственника,4 500 сом/сутки,409,,"Бишкек, КНУ",,9 этаж из 11,,элитка,"панельный, 2024 г.",Добавлено 29 дней назад,евроремонт,https://www.house.kg/details/622639665a2d9983f5317-98119223
"2-комн. кв., 100 м2",от агента,69 411 сом/мес.,406,,"Бишкек, Академия Наук, Уметалиева 98",Илим Плюс,8 этаж из 10,полностью меблирована,элитка,"монолитный, 2016 г.",Добавлено 3 дня назад,евроремонт,https://www.house.kg/details/871052365c45f90921728-84485091
"4-комн. кв., 104 м2",от агента,130 145 сом/мес.,353,2,"Бишкек, Магистраль, Асанбай, Сухэ-Батора","ЖК ""Белгравия"" Belgravia",12 этаж из 16,,элитка,"монолитный, 2022 г.",Добавлено 13 дней назад,евроремонт,https://www.house.kg/details/385297065b72c3b759897-31928781
"2-комн. кв., 90 м2",от агента,69 411 сом/мес.,544,,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",Жилой дом “Флоренция”,4 этаж из 10,,элитка,"монолитный, 2022 г.",Добавлено 3 дня назад,евроремонт,https://www.house.kg/details/669712465c4651bc00f44-49125858
"2-комн. кв., 100 м2",от агента,69 411 сом/мес.,409,,"Бишкек, Академия Наук, Уметалиева 98",Илим Плюс,8 этаж из 10,,элитка,"монолитный, 2016 г.",Добавлено 3 дня назад,евроремонт,https://www.house.kg/details/45578265c4642202f6d2-51351764
"2-комн. кв., 89 м2",от агента,60 735 сом/мес.,430,,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",Панфилов,8 этаж из 16,,элитка,"монолитный, 2017 г.",Добавлено 3 дня назад,хорошее,https://www.house.kg/details/5797665c462f4385c57-35420733
"2-комн. кв., 100 м2",от агента,69 411 сом/мес.,396,,"Бишкек, Академия Наук, Уметалиева 98",Илим Плюс,8 этаж из 10,полностью меблирована,элитка,"монолитный, 2016 г.",Добавлено 3 дня назад,евроремонт,https://www.house.kg/details/195430765c4617a0c7c44-37143569
